0
Initializing SDP sensor
SDP sensor initialized
1
SN:1820000045  FlowOffset:0.00 FlowScale:256.00  TempOffset:20000.00  TempScale:100.00 SFM Status:02
3
SETUP DONE
r_f_set: 3.00   PWM: 21.32   Flow_SFM: 2.32   Flow_SDP: 2.39   Mean_Pressure: 1.19
r_f_set: 3.00   PWM: 21.92   Flow_SFM: 2.51   Flow_SDP: 2.54   Mean_Pressure: 1.32
r_f_set: 3.00   PWM: 22.37   Flow_SFM: 2.68   Flow_SDP: 2.69   Mean_Pressure: 1.39
r_f_set: 3.00   PWM: 22.58   Flow_SFM: 2.84   Flow_SDP: 2.85   Mean_Pressure: 1.50
r_f_set: 3.00   PWM: 22.54   Flow_SFM: 2.96   Flow_SDP: 2.97   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 22.48   Flow_SFM: 3.03   Flow_SDP: 3.05   Mean_Pressure: 1.59
r_f_set: 3.00   PWM: 22.50   Flow_SFM: 3.07   Flow_SDP: 3.11   Mean_Pressure: 1.64
r_f_set: 3.00   PWM: 21.90   Flow_SFM: 3.14   Flow_SDP: 3.18   Mean_Pressure: 1.66
r_f_set: 3.00   PWM: 21.99   Flow_SFM: 3.12   Flow_SDP: 3.13   Mean_Pressure: 1.64
r_f_set: 3.00   PWM: 21.20   Flow_SFM: 3.10   Flow_SDP: 3.12   Mean_Pressure: 1.68
r_f_set: 3.00   PWM: 21.01   Flow_SFM: 3.10   Flow_SDP: 3.15   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 21.14   Flow_SFM: 3.10   Flow_SDP: 3.15   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 20.70   Flow_SFM: 3.06   Flow_SDP: 3.07   Mean_Pressure: 1.63
r_f_set: 3.00   PWM: 20.55   Flow_SFM: 3.05   Flow_SDP: 3.09   Mean_Pressure: 1.61
r_f_set: 3.00   PWM: 20.73   Flow_SFM: 3.06   Flow_SDP: 3.11   Mean_Pressure: 1.60
r_f_set: 3.00   PWM: 20.67   Flow_SFM: 3.01   Flow_SDP: 3.07   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.66   Flow_SFM: 3.00   Flow_SDP: 3.04   Mean_Pressure: 1.56
r_f_set: 3.00   PWM: 21.12   Flow_SFM: 2.98   Flow_SDP: 3.01   Mean_Pressure: 1.59
