r_f_set: 3.00   PWM: 23.13   Flow_SFM: 2.64   Flow_SDP: 2.89   Mean_Pressure: 1.44
r_f_set: 3.00   PWM: 23.65   Flow_SFM: 2.77   Flow_SDP: 2.94   Mean_Pressure: 1.51
r_f_set: 3.00   PWM: 23.44   Flow_SFM: 2.88   Flow_SDP: 3.00   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 22.99   Flow_SFM: 2.98   Flow_SDP: 3.21   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 23.18   Flow_SFM: 3.06   Flow_SDP: 3.42   Mean_Pressure: 1.69
r_f_set: 3.00   PWM: 23.31   Flow_SFM: 3.09   Flow_SDP: 3.39   Mean_Pressure: 1.68
r_f_set: 3.00   PWM: 22.99   Flow_SFM: 3.10   Flow_SDP: 3.29   Mean_Pressure: 1.75
r_f_set: 3.00   PWM: 22.71   Flow_SFM: 3.10   Flow_SDP: 3.49   Mean_Pressure: 1.73
r_f_set: 3.00   PWM: 22.36   Flow_SFM: 3.13   Flow_SDP: 3.39   Mean_Pressure: 1.74
r_f_set: 3.00   PWM: 22.32   Flow_SFM: 3.11   Flow_SDP: 3.59   Mean_Pressure: 1.72
r_f_set: 3.00   PWM: 22.20   Flow_SFM: 3.08   Flow_SDP: 3.42   Mean_Pressure: 1.74
r_f_set: 3.00   PWM: 21.58   Flow_SFM: 3.08   Flow_SDP: 3.41   Mean_Pressure: 1.71
r_f_set: 3.00   PWM: 21.99   Flow_SFM: 3.04   Flow_SDP: 3.54   Mean_Pressure: 1.70
r_f_set: 3.00   PWM: 22.09   Flow_SFM: 3.03   Flow_SDP: 3.41   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 21.50   Flow_SFM: 3.00   Flow_SDP: 3.36   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 21.42   Flow_SFM: 3.02   Flow_SDP: 3.36   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.31   Flow_SFM: 3.01   Flow_SDP: 3.23   Mean_Pressure: 1.68
r_f_set: 3.00   PWM: 21.69   Flow_SFM: 3.00   Flow_SDP: 3.26   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 22.19   Flow_SFM: 2.98   Flow_SDP: 3.28   Mean_Pressure: 1.64
r_f_set: 3.00   PWM: 21.99   Flow_SFM: 2.97   Flow_SDP: 3.32   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 21.90   Flow_SFM: 2.97   Flow_SDP: 3.23   Mean_Pressure: 1.64
r_f_set: 3.00   PWM: 21.81   Flow_SFM: 2.97   Flow_SDP: 3.10   Mean_Pressure: 1.64
r_f_set: 3.00   PWM: 22.09   Flow_SFM: 2.96   Flow_SDP: 3.29   Mean_Pressure: 1.61
r_f_set: 3.00   PWM: 22.07   Flow_SFM: 2.98   Flow_SDP: 3.41   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.22   Flow_SFM: 3.00   Flow_SDP: 3.23   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 21.90   Flow_SFM: 3.02   Flow_SDP: 3.30   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.00   Flow_SFM: 3.00   Flow_SDP: 3.28   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.34   Flow_SFM: 3.01   Flow_SDP: 3.27   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.23   Flow_SFM: 3.00   Flow_SDP: 3.25   Mean_Pressure: 1.68
r_f_set: 3.00   PWM: 21.83   Flow_SFM: 3.04   Flow_SDP: 3.32   Mean_Pressure: 1.69
r_f_set: 3.00   PWM: 22.07   Flow_SFM: 3.01   Flow_SDP: 3.23   Mean_Pressure: 1.66
r_f_set: 3.00   PWM: 22.01   Flow_SFM: 3.00   Flow_SDP: 3.34   Mean_Pressure: 1.69
r_f_set: 3.00   PWM: 21.91   Flow_SFM: 2.98   Flow_SDP: 3.31   Mean_Pressure: 1.66
r_f_set: 3.00   PWM: 22.30   Flow_SFM: 3.01   Flow_SDP: 3.36   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.28   Flow_SFM: 2.99   Flow_SDP: 3.32   Mean_Pressure: 1.64
r_f_set: 3.00   PWM: 21.62   Flow_SFM: 2.99   Flow_SDP: 3.29   Mean_Pressure: 1.66
r_f_set: 3.00   PWM: 21.55   Flow_SFM: 3.04   Flow_SDP: 3.54   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 21.65   Flow_SFM: 3.03   Flow_SDP: 3.39   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 21.88   Flow_SFM: 3.02   Flow_SDP: 3.50   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 22.11   Flow_SFM: 3.00   Flow_SDP: 3.24   Mean_Pressure: 1.68
r_f_set: 3.00   PWM: 21.82   Flow_SFM: 3.00   Flow_SDP: 3.41   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.00   Flow_SFM: 2.99   Flow_SDP: 3.13   Mean_Pressure: 1.66
r_f_set: 3.00   PWM: 21.96   Flow_SFM: 2.99   Flow_SDP: 3.22   Mean_Pressure: 1.67
r_f_set: 3.00   PWM: 22.34   Flow_SFM: 2.97   Flow_SDP: 3.24   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 22.36   Flow_SFM: 2.98   Flow_SDP: 3.37   Mean_Pressure: 1.65
r_f_set: 3.00   PWM: 21.93   Flow_SFM: 2.99   Flow_SDP: 3.25   Mean_Pressure: 1.65
r_f_set: 4.00   PWM: 25.34   Flow_SFM: 3.04   Flow_SDP: 3.43   Mean_Pressure: 1.69
r_f_set: 4.00   PWM: 26.18   Flow_SFM: 3.21   Flow_SDP: 3.59   Mean_Pressure: 1.79
r_f_set: 4.00   PWM: 27.59   Flow_SFM: 3.38   Flow_SDP: 3.72   Mean_Pressure: 1.91
r_f_set: 4.00   PWM: 28.72   Flow_SFM: 3.51   Flow_SDP: 3.91   Mean_Pressure: 1.99
r_f_set: 4.00   PWM: 28.68   Flow_SFM: 3.69   Flow_SDP: 4.05   Mean_Pressure: 2.09
r_f_set: 4.00   PWM: 28.97   Flow_SFM: 3.82   Flow_SDP: 4.14   Mean_Pressure: 2.19
r_f_set: 4.00   PWM: 28.95   Flow_SFM: 3.94   Flow_SDP: 4.38   Mean_Pressure: 2.28
r_f_set: 4.00   PWM: 29.31   Flow_SFM: 4.01   Flow_SDP: 4.35   Mean_Pressure: 2.31
