r_f_set: 2.00   PWM: 13.64   Flow_SFM: 0.20   Flow_SDP: -0.74   Mean_Pressure: 0.55
r_f_set: 2.00   PWM: 17.23   Flow_SFM: 0.25   Flow_SDP: -0.61   Mean_Pressure: 0.58
r_f_set: 2.00   PWM: 19.35   Flow_SFM: 0.63   Flow_SDP: -0.05   Mean_Pressure: 0.63
r_f_set: 2.00   PWM: 20.94   Flow_SFM: 1.02   Flow_SDP: 0.73   Mean_Pressure: 0.73
r_f_set: 2.00   PWM: 21.82   Flow_SFM: 1.34   Flow_SDP: 1.18   Mean_Pressure: 0.81
r_f_set: 2.00   PWM: 22.16   Flow_SFM: 1.66   Flow_SDP: 1.68   Mean_Pressure: 0.92
r_f_set: 2.00   PWM: 22.03   Flow_SFM: 1.93   Flow_SDP: 1.94   Mean_Pressure: 1.01
r_f_set: 2.00   PWM: 21.53   Flow_SFM: 2.11   Flow_SDP: 2.19   Mean_Pressure: 1.06
r_f_set: 2.00   PWM: 20.97   Flow_SFM: 2.19   Flow_SDP: 2.24   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 20.52   Flow_SFM: 2.32   Flow_SDP: 2.39   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 19.89   Flow_SFM: 2.30   Flow_SDP: 2.33   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 18.96   Flow_SFM: 2.31   Flow_SDP: 2.37   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 18.89   Flow_SFM: 2.22   Flow_SDP: 2.21   Mean_Pressure: 1.09
r_f_set: 2.00   PWM: 18.44   Flow_SFM: 2.26   Flow_SDP: 2.32   Mean_Pressure: 1.07
r_f_set: 2.00   PWM: 17.97   Flow_SFM: 2.15   Flow_SDP: 2.27   Mean_Pressure: 1.05
r_f_set: 2.00   PWM: 17.80   Flow_SFM: 2.08   Flow_SDP: 2.15   Mean_Pressure: 1.04
r_f_set: 2.00   PWM: 17.88   Flow_SFM: 2.00   Flow_SDP: 1.94   Mean_Pressure: 1.01
r_f_set: 2.00   PWM: 18.17   Flow_SFM: 1.96   Flow_SDP: 1.95   Mean_Pressure: 1.01
r_f_set: 2.00   PWM: 17.76   Flow_SFM: 1.98   Flow_SDP: 1.97   Mean_Pressure: 1.02
r_f_set: 2.00   PWM: 17.97   Flow_SFM: 1.98   Flow_SDP: 1.98   Mean_Pressure: 1.00
r_f_set: 2.00   PWM: 18.08   Flow_SFM: 1.99   Flow_SDP: 2.03   Mean_Pressure: 1.01
r_f_set: 2.00   PWM: 18.11   Flow_SFM: 1.98   Flow_SDP: 1.94   Mean_Pressure: 1.01
